title,date_added,release_year,rating,duration,listed_in,Service,ContentType,Thriller,Cooking & Food,Music,Mystery,Sports,Black Stories,Latino,Superhero,Survival,Fantasy,Movies,Medical,Variety,Police/Cop,Western,Series,Suspense,Special Interest,Entertainment,TV Shows,TV Mysteries,Independent Movies,Thrillers,TV Thrillers,TV Sci-Fi & Fantasy,Sports Movies,Animate,sitcom,international,history,romance,news,health,classic,reality,comedy,drama,crime,horror,Science,Under18,Docs,lifestyle,ArtAndMusic,GameShow
Be-Be-Bears,"August 29, 2018",2018,TV-Y,1 Season,Kids' TV,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Beak & Brain: Genius Birds From Down Under,"March 1, 2017",2013,TV-G,52 min,"Documentaries, International Movies",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Bean: The Ultimate Disaster Movie,"August 1, 2018",1997,PG-13,89 min,"Comedies, International Movies",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Beary Tales,"March 1, 2017",2013,TV-G,52 min,"Children & Family Movies, Documentaries, International Movies",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Beast Legends,"February 1, 2019",2010,TV-PG,1 Season,Docuseries,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Beating Again,"May 22, 2017",2015,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beauty & the Beast,"September 19, 2016",2016,TV-14,4 Seasons,"Crime TV Shows, Romantic TV Shows, TV Dramas",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Beauty and the Bitches,"April 23, 2019",2016,TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Beavis and Butt-head Do America,"November 20, 2019",1996,PG-13,81 min,"Comedies, Cult Movies",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Bebe's Kids,"November 20, 2019",1992,PG-13,73 min,Comedies,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
